/scr/andukuri/miniconda3/envs/assistant-gate/lib/python3.10/site-packages/bitsandbytes/libbitsandbytes_cpu.so: undefined symbol: cadam32bit_grad_fp32
[2024-02-25 15:00:19,084][root][INFO] - Loading GPT-4 and generating personas for test split...
[2024-02-25 15:00:25,395][httpx][INFO] - HTTP Request: POST https://philipp.openai.azure.com//openai/deployments/gpt-4/chat/completions?api-version=2023-05-15 "HTTP/1.1 200 OK"
[2024-02-25 15:00:25,398][root][INFO] - Cost for running gpt4: 0.02727
[2024-02-25 15:00:25,551][httpx][INFO] - HTTP Request: POST https://philipp.openai.azure.com//openai/deployments/gpt-4/chat/completions?api-version=2023-05-15 "HTTP/1.1 200 OK"
[2024-02-25 15:00:25,552][root][INFO] - Cost for running gpt4: 0.026459999999999997
[2024-02-25 15:00:25,849][httpx][INFO] - HTTP Request: POST https://philipp.openai.azure.com//openai/deployments/gpt-4/chat/completions?api-version=2023-05-15 "HTTP/1.1 200 OK"
[2024-02-25 15:00:25,850][root][INFO] - Cost for running gpt4: 0.02484
[2024-02-25 15:00:25,960][httpx][INFO] - HTTP Request: POST https://philipp.openai.azure.com//openai/deployments/gpt-4/chat/completions?api-version=2023-05-15 "HTTP/1.1 200 OK"
[2024-02-25 15:00:25,961][root][INFO] - Cost for running gpt4: 0.026010000000000002
[2024-02-25 15:00:26,366][httpx][INFO] - HTTP Request: POST https://philipp.openai.azure.com//openai/deployments/gpt-4/chat/completions?api-version=2023-05-15 "HTTP/1.1 200 OK"
[2024-02-25 15:00:26,367][root][INFO] - Cost for running gpt4: 0.0267
[2024-02-25 15:00:26,424][httpx][INFO] - HTTP Request: POST https://philipp.openai.azure.com//openai/deployments/gpt-4/chat/completions?api-version=2023-05-15 "HTTP/1.1 200 OK"
[2024-02-25 15:00:26,425][root][INFO] - Cost for running gpt4: 0.02943
[2024-02-25 15:00:26,517][httpx][INFO] - HTTP Request: POST https://philipp.openai.azure.com//openai/deployments/gpt-4/chat/completions?api-version=2023-05-15 "HTTP/1.1 200 OK"
[2024-02-25 15:00:26,518][root][INFO] - Cost for running gpt4: 0.02367
[2024-02-25 15:00:27,885][httpx][INFO] - HTTP Request: POST https://philipp.openai.azure.com//openai/deployments/gpt-4/chat/completions?api-version=2023-05-15 "HTTP/1.1 200 OK"
[2024-02-25 15:00:27,886][root][INFO] - Cost for running gpt4: 0.030000000000000002
[2024-02-25 15:00:28,769][httpx][INFO] - HTTP Request: POST https://philipp.openai.azure.com//openai/deployments/gpt-4/chat/completions?api-version=2023-05-15 "HTTP/1.1 200 OK"
[2024-02-25 15:00:28,771][root][INFO] - Cost for running gpt4: 0.027750000000000004
[2024-02-25 15:00:29,472][httpx][INFO] - HTTP Request: POST https://philipp.openai.azure.com//openai/deployments/gpt-4/chat/completions?api-version=2023-05-15 "HTTP/1.1 200 OK"
[2024-02-25 15:00:29,474][root][INFO] - Cost for running gpt4: 0.02898
